SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,Tempo,TimeSignature,Title,Year,SongHotness
132,SOFUBCP12A8C13D5EF,117983,99 Monkeys,AR19SOA1187B98F6E6,Bob Neuwirth,241.10975,4,152.267,3,Biding Her Time,1990,0.480610618
133,SOVZBDR12A6702012E,6949,Nothing Else Matters,ARTDBI61187FB48479,Marvin Sapp,270.68036,1,166.275,4,More And More  (LP Version),0,0.26568338
134,SOPWKSS12AC468E659,735425,A Tribute to The American Horse,ARSE6YI1187B9B9CD2,James Hunter,188.73424,2,114.971,4,Cowboy Ways,0,
135,SOCCQIQ12A8C13C76B,158078,Mis Momentos,AR6C8EJ1187FB3F473,Nelson Ned,211.80036,9,144.651,4,Brasas Vivas,0,
136,SODBMZD12A8C134232,199953,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,AROI96Z1187B9A5304,Mish Mash,254.32771,2,152.005,1,Kolomeyke,0,
137,SOBUWPY12A8C1446C0,329135,In this Life,ARIOSKN1257509BCE1,Cama,210.36363,1,155.074,1,In This Life,2009,
138,SORWXUP12A58A79E65,276924,Best Of Maxi Priest,ARI0PUX1187FB3F215,Maxi Priest,301.81832,10,61.971,1,Groovin' In The Midnight,1991,0.345802234
139,SOJEVZW12A8C133988,193554,Signify (Special Edition),ARYO9BU1187B9ADA88,Porcupine Tree,416.80934,6,124.04,5,Waiting,1997,0.82517354
140,SOOODKC12AB018462F,409813,Bravo Alayki Rare recording,ARZ507V1187FB4425E,Ragheb Alama,413.36118,7,191.196,4,A'chek Ouyounik (2009 Digital Remaster),0,0.0
141,SODOLVO12B0B80B2F4,440990,In Your Honor,AR6XPWV1187B9ADAEB,Foo Fighters,117.002,7,152.127,4,Hell,2005,
142,SOEHWGF12A6D4F8B2B,302176,Essential R&B Hit Selection,AR6PJ8R1187FB5AD70,Shakira Featuring Wyclef Jean,217.36444,10,100.023,4,Hips Don't Lie (featuring Wyclef Jean),0,0.73738531
144,SOOSYMY12AB01888CD,762519,Talk To Your Daughter,AR7BMMV1187FB5B2D7,Robben Ford,203.98975,11,154.322,4,I Got Over It (Album Version),1988,0.47212112
145,SOPBKEB12A6D4FD777,177029,American Songbook - Bacharach,AREYIHC1187B99CE0B,Brazilian Tropical Orchestra,192.44363,5,236.006,4,One Less Bell To Answer,0,0.0
148,SOHDDHR12AB0183552,517488,Scarcity,ARBGJLS11F4C83D4B9,Xmilk,123.66322,9,104.153,4,Sense And Trick,0,
149,SONWQQX12AC3DF6762,776019,Fire,ARVNDLR1187B99CA1B,Dolce; Oscar G.,525.16526,11,127.278,4,Fire (Oscar G Space Vocal Mix),0,
150,SOGXFIF12A58A78CC4,696947,Hanging On (Premiere Performance Plus Track),AR5LZJD1187FB4C5E5,Britt Nicole,204.06812,6,160.165,4,Hanging On (Medium Key Performance Track Without Background Vocals),0,0.236420182
151,SOIPNSZ12A8C144128,477268,Grim Prospects Remixes - Prospects Are Getting Grimmer,AR3WMW01187B9921F7,Schizoid,166.00771,5,86.091,3,Grim Prospects (Version 2 Remix),0,
152,SOEXSIN12A8C133B0A,281713,Snowflakes,ARAEX7Y1187FB42D36,Toni Braxton Featuring Shaggy,219.01016,0,149.94,4,Christmas In Jamaica,2001,
153,SOTSMNJ12AB018365E,492999,The Out Sound From Way In!,ARK2G5U1187FB46B34,Perrey And Kingsley,127.9473,0,135.78,4,Gossippo Perpetuo,2001,0.444401715
154,SOLGRUN12A8C140543,120640,El Fuego De Dentro,ARTB56G11C8A41569D,Sven Tasnadi,570.90567,7,122.967,4,2190 Dias Contigo,0,
155,SOQCHGV12AC4688FC6,789426,No Control,AR0GGKI1187FB391D5,Eddie,230.00771,9,142.024,4,No Control,0,
156,SOXCWTT12AC9075756,785362,Pentagrammaton,ARZEWUR1187FB53DC8,Enthroned,240.74404,2,135.535,7,The Vitalized Shell,2010,0.543052864
157,SOAFIPD12A8C13A261,298921,Pianissimo,AR89DTT1187B9A7ED5,Suzanne Ciani,192.20853,2,139.189,3,Mozart,1989,0.608500079
158,SOMJPML12A8C13D74E,162273,Milan Milan,ARTHKKA122BCFCBF58,Milan Band,152.0322,8,128.598,5,Ciao Milan,0,
159,SOCVDYI12AC4687DDB,605167,Auralux Reggae Showcase,ARJDMBO1187B9AD118,Johnny Osbourne,215.30077,3,163.445,4,Lend Me Your Chopper,2004,0.0
160,SOEVGMZ12A8C1421B5,474726,Heaven,ARYJSY01187B9B7C65,Dolly Parton,155.21914,7,114.027,3,Letter To Heaven,1971,
161,SOCGURJ12AB0182AEE,364642,Up Above My Head,AR77FBJ1187FB49D8D,Rance Allen Group,207.12444,7,111.316,1,Heaven is Where The Heart Is,0,
162,SOHTWLT12A8C13CFE1,307651,Pearl Jam,ARFVYJI1187B9B8E13,Pearl Jam,428.56444,4,105.994,3,Inside Job,2006,0.659304669
163,SOVQZYP12A8C144692,614890,Take A Look,ARBM4TC1187FB5CE98,Natalie Cole,185.7824,8,88.489,1,Take A Look  (LP Version),0,
164,SOHHANU12A58A77C66,538734,Crack The Skye,ARMQHX71187B9890D3,Mastodon,654.28853,7,118.433,4,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009,0.626612803
165,SOTHWPG12AB018C90E,767591,Behind The Blue,ARYXJ5A1187B9B9E56,Kiril Valeri,306.72934,11,96.007,4,Bulgarian Dream,0,0.270775999
166,SOOQHNV12AB0186CD4,554760,Matumago X Press,ARULHJM1187B997004,Word,229.51138,9,187.807,4,Amalgama,0,
167,SOSGXRU12AAF3B2B07,528941,The Best of DJ Quik - Da Finale,AROTIMO1187FB532BF,DJ Quik,205.58322,7,181.115,4,Born and Raised In Compton,1991,
168,SOFRUDU12A8C13A40C,293622,RCA Country Legends,AR0X3JJ1187FB3A9A7,Hank Locklin,127.05914,2,148.357,4,We're Gonna Go Fishin,0,0.494489518
169,SONXLQQ12AB0184B54,472444,LOOK (Original Motion Picture Soundtrack),AR035N21187FB3938E,BT,44.35546,1,136.164,4,Robbers Kill Cop,0,0.304169503
170,SOKPHVH12AB0187460,763206,Relax,ARA0H5U1187FB47949,2-4 Grooves feat. Reki D.,203.83302,4,126.941,4,Relax,2009,
171,SOIUGDX12A6D4FDECA,239244,Joy In Our Hearts - The Gospel Side Of The Jordanaires,AR358YS1187FB44A29,The Jordanaires,176.50893,5,159.582,3,Sweet By And By,0,
172,SOAYYDM12AB01817E6,329967,Enjoy!,ARANOZN1187B9B373E,Descendents,140.66893,6,89.495,4,Orgofart,1986,0.519448581
173,SORAJXA12A58A7A4C9,71267,A Nite On The Strip - Live,ARHONG11187FB3B120,L.A. Guns,201.09016,5,102.259,3,Bitch Is Back,1988,
174,SODJUNF12A8C13337F,282150,Boo-Tay,ARRA2F91187B9B4061,Bare Jr.,254.79791,10,107.529,3,Naked Albino,1998,0.0
175,SOVDDWO12A6D4F9A78,46723,The Best Of Shelley Fabares [Digital Version],ARSGZ3J1187FB3E610,Shelley Fabares,143.0722,0,99.408,4,Johnny Loves Me (LP Version),0,0.0
176,SOFGQAP12AB0185946,575880,In London_ In Love,ARMQ32V1187B9999F3,Norrie Paramor,163.49995,9,79.731,4,Dearly Beloved,0,0.0
